spot_stat_label,area,medianQ,Qbin,intensity_sum,intensity_max,intensity_mean,on_arc
0,25284,5.138220024087838,351,530954660.0,334230.2,20999.63,1
1,87,6.549904057785144,459,394543.9,5607.3525,4534.9873,1
2,191,6.47028229217146,453,901703.4,6173.246,4720.96,0
3,4,6.489557674630798,454,18828.64,5073.555,4707.16,1
4,75,6.415428816665141,449,330039.12,4958.7227,4400.5215,0
5,11,6.5547377382938015,459,50963.617,5344.413,4633.056,1
6,4,6.550845786435392,459,20144.775,5428.4463,5036.194,1
7,6,6.544344280532401,459,27651.809,4859.4756,4608.635,1
8,5,6.604545399743329,463,21931.734,4624.361,4386.3467,0
9,4,6.5477964894313665,459,20019.57,5699.757,5004.8926,1
10,7,6.5440421716831425,459,39334.44,7828.1675,5619.206,1
11,25,6.544961871937897,459,133166.94,8562.529,5326.6777,1
12,57,6.218882112062813,434,680980.5,57242.734,11947.026,1
13,4,6.577265287131228,461,16914.697,4402.206,4228.6743,1
14,7,6.210041398837652,433,46819.387,7965.5337,6688.484,1
15,30,6.2057049888534515,433,208914.83,17215.986,6963.8276,1
16,4,6.514963336273774,456,19787.486,5107.375,4946.8716,1
17,4,6.569839483742557,460,16594.59,4455.7104,4148.6475,0
18,4,6.573010986120685,461,17050.855,4440.2334,4262.714,0
19,5,6.544644904875308,459,22474.387,4657.05,4494.8774,1
20,19,6.451715566351905,452,86660.97,5078.035,4561.1035,0
21,12,6.426705739204443,450,52222.156,4742.3506,4351.846,0
22,17,6.580671973086067,461,72947.7,4541.686,4291.0415,1
23,5,6.403522271778174,448,22141.096,4504.1436,4428.219,1
24,4,6.493925064355928,455,20412.8,5208.726,5103.2,1
25,47,6.563855744699131,460,210017.05,6132.1587,4468.4478,1
26,8,6.375152106574625,446,36301.97,4999.9585,4537.746,0
27,707,6.258733985738335,437,3497943.5,6003.8433,4947.5864,0
28,18,6.521226964045417,457,84084.914,5138.5005,4671.3843,1
29,9,6.112399942047466,426,41718.734,4944.273,4635.415,0
30,4,6.31583819486919,441,21401.742,5805.1455,5350.4355,1
31,9,6.40022693476589,448,39275.17,4646.7446,4363.908,0
32,5,6.523386887391922,457,23259.82,4841.835,4651.964,0
33,9,6.18110643356919,431,42925.305,5071.4937,4769.4785,0
34,4,6.500133948277557,455,19582.639,5232.2197,4895.6597,0
35,27,6.453656822421399,452,122208.45,4871.0967,4526.239,1
36,8,6.3627477856137915,445,36816.133,5052.5044,4602.0166,0
37,4,6.420746923300058,449,17304.129,4636.962,4326.032,0
38,9,6.557945970804798,460,40667.04,4846.2437,4518.56,1
39,6,6.465310157298357,452,27724.072,4928.107,4620.6787,0
40,4,6.025951796836482,419,21029.055,5983.0444,5257.2637,1
41,43,6.345497800569692,443,211304.17,5937.566,4914.0503,0
42,15,6.374279682168464,446,67306.55,4830.442,4487.103,0
43,19,6.315899393277288,441,103825.42,5899.082,5464.496,1
44,5,6.457465012902556,452,23268.58,4723.7783,4653.716,0
45,5,6.4086772650249,448,22219.457,4617.1934,4443.8916,0
46,5,6.485402491701505,454,23881.861,4971.25,4776.372,1
47,11,6.092614008752771,424,52299.918,4902.2036,4754.538,0
48,7,6.401587774602394,448,30362.889,4563.5454,4337.5557,0
49,4,6.401679420567809,448,17806.014,4551.594,4451.5034,1
50,12,6.285359968288271,439,57435.14,5086.586,4786.2617,0
51,7,6.362135935761302,445,30967.078,4930.135,4423.868,0
52,4,5.905014033553455,410,19758.324,5117.7344,4939.581,0
53,25,5.97912403413961,416,127076.54,5552.555,5083.0615,0
54,5,6.144334864941597,428,23389.883,4962.693,4677.9766,0
55,6,6.168929295119986,430,28270.14,4963.851,4711.69,0
56,13,6.246867218421804,436,63882.938,5260.697,4914.0723,1
57,8,6.314988474065417,441,42721.85,5764.829,5340.2314,1
58,18,6.25343044121481,436,90147.11,5498.249,5008.173,1
59,4,6.279992506768233,438,19298.945,5103.8853,4824.7363,0
60,7,6.28459938602828,439,33576.133,5008.2983,4796.5903,0
61,5,5.867009656705022,407,24902.78,5212.432,4980.5557,0
62,6,6.1151785125456435,426,27844.398,4895.0947,4640.733,0
63,15,6.3209684916325015,442,98242.086,10530.773,6549.472,1
64,4,6.440100076642345,450,18594.066,4994.0537,4648.5166,0
65,4,5.839790409541037,405,19924.836,5343.2627,4981.209,0
66,7,6.2000250621599955,432,35239.777,5733.291,5034.254,1
67,8,5.803023418147324,402,46060.047,6145.147,5757.506,1
68,9,6.12937846012946,427,41869.047,5005.8804,4652.116,1
69,5,6.099329673570877,425,23913.799,5228.573,4782.76,1
70,5,6.085701982630434,424,23036.78,4922.6914,4607.356,1
71,4,6.1517645990072305,429,19342.566,5052.5747,4835.6416,1
72,4,6.255342407539397,436,19638.59,5121.3423,4909.6475,1
73,4,6.0831847347071415,423,19606.246,4960.6924,4901.5615,1
74,13,5.879454841127095,408,64969.082,5298.515,4997.6216,0
75,5,6.048140170938087,421,24589.156,5159.5166,4917.831,0
76,4,6.151479126084325,429,18533.62,4917.2925,4633.405,0
77,7,5.837332867038025,405,36101.977,5279.0728,5157.4253,0
78,4,5.7072869765726635,395,21271.355,5599.326,5317.839,1
79,6,5.790599978445945,401,35948.2,6403.369,5991.3667,1
80,16,6.129998243095258,427,122418.14,14975.324,7651.134,1
81,1412,5.465864937245576,376,9666224.0,53113.164,6845.7676,0
82,62,5.8586865271251956,406,526747.9,56324.52,8495.934,1
83,15,5.712691881939374,395,78814.21,5458.228,5254.281,0
84,4,5.347297981067362,367,24022.215,6180.247,6005.5537,1
85,4,5.3503720383751405,368,23210.012,6235.014,5802.503,0
86,4,5.350608006885679,368,24445.531,6223.4014,6111.383,1
87,89,5.334542851222762,366,524842.06,6484.3315,5897.102,0
88,6,5.3407615154148385,367,35612.535,6168.396,5935.4224,0
89,29,5.331758796896744,366,167268.72,6095.183,5767.8867,0
90,6,5.474399934174354,377,47052.734,10513.332,7842.1226,1
91,5,5.882633159009011,408,24941.559,5246.98,4988.3115,1
92,29,5.156699587164285,353,291626.25,10925.331,10056.077,0
93,4,5.817507775271231,403,21207.643,5681.996,5301.9106,0
94,1519,5.4668577656171005,376,10326460.0,32312.395,6798.1963,0
95,5,5.157255549918505,353,50679.375,10666.275,10135.875,0
96,14,5.141140887225861,352,231577.27,18402.139,16541.232,1
97,7,5.141763877358577,352,105933.14,15697.625,15133.306,1
98,4,5.14243501822404,352,58757.887,15048.663,14689.472,1
99,21,6.2064758370137945,433,166025.3,15803.7705,7905.9663,1
100,5,5.144609768519352,352,71948.445,16518.568,14389.689,1
101,48,4.971405556524314,339,293014.34,6990.5483,6104.4653,1
102,66,5.334408859563851,366,391394.97,6416.271,5930.2266,0
103,8,5.332650835729622,366,46595.867,6173.972,5824.4834,0
104,5,5.3428631838227565,367,29117.498,6076.087,5823.4995,0
105,4,5.152140917116823,352,52764.562,15749.151,13191.141,1
106,60,4.988425536276409,340,359643.88,7223.202,5994.0645,0
107,49,4.889275155260662,332,283465.9,6167.2446,5785.0186,0
108,18,5.338791612720879,367,106100.72,6285.6787,5894.4844,0
109,4,5.152103439099922,352,52726.273,15708.251,13181.568,1
110,18,4.8715116646502725,331,104253.6,6336.3994,5791.8667,0
111,11,5.151320624388234,352,147380.52,16841.219,13398.229,1
112,5,4.988483629039714,340,34333.64,7653.766,6866.728,1
113,4,4.889521949907518,332,22793.703,5808.7495,5698.426,0
114,281,4.7113156086242824,319,1761332.9,17574.75,6268.0884,1
115,4,5.151313668247669,352,53559.395,16366.11,13389.849,1
116,26,5.484875768892927,378,232893.02,14500.473,8957.424,1
117,8,4.840720396290376,329,55878.832,7627.142,6984.854,1
118,10,4.871089317238214,331,55720.504,5954.3267,5572.0503,0
119,25,5.479910758790994,377,261813.02,29167.617,10472.5205,1
120,4,5.155334745188239,353,46071.57,14253.197,11517.893,1
121,4,5.729237838425986,396,21126.29,5493.547,5281.5723,1
122,2229,4.676705116798955,316,19225362.0,324479.38,8625.106,0
123,6,4.8394021216590195,328,40965.547,7848.547,6827.5913,1
124,5,5.483452804056154,378,35121.594,7490.817,7024.319,1
125,24,4.765618333392278,323,129585.72,5714.58,5399.405,0
126,13697,4.379215490724312,294,249024880.0,5976070.5,18180.98,1
127,9,4.8851286761843635,332,51906.137,6076.9326,5767.3486,0
128,35,5.47924541376933,377,441932.94,71358.02,12626.655,1
129,6,4.769130996428682,323,32281.219,5767.3516,5380.203,0
130,5,4.870930158722459,331,29895.941,6350.239,5979.1885,0
131,21,5.476776040038341,377,229727.73,29310.48,10939.416,1
132,13,4.834878929334204,328,98188.31,7958.7974,7552.9473,1
133,4,4.806070439309972,326,22931.527,6173.172,5732.882,0
134,32,5.6315172831844515,389,177707.78,6137.94,5553.368,0
135,28,4.814573852848772,327,180000.64,7751.2607,6428.594,1
136,8,5.666513524384465,391,42458.26,5563.5146,5307.2827,0
137,22,6.205961442757988,433,114372.555,5670.9634,5198.7524,1
138,5,5.474699119273633,377,36348.96,7979.4995,7269.792,1
139,4,5.647318872725087,390,21906.723,5637.623,5476.6807,0
140,6,5.4751754316250185,377,40190.734,7791.4546,6698.4556,1
141,22,5.58942928875512,386,128852.59,6161.216,5856.936,0
142,48,6.21102087131233,433,240495.97,5635.952,5010.3325,1
143,5,4.712394444690491,319,29904.04,6290.7183,5980.8076,1
144,76,5.476909258167646,377,2421191.5,370088.62,31857.783,1
145,54,5.596562254027566,386,309981.03,6292.327,5740.3896,1
146,257,4.641118433707987,314,2972701.5,117432.59,11566.932,1
147,4,4.754894985330621,322,21302.674,5524.242,5325.6685,0
148,6,5.611212878491278,387,34384.51,6121.5234,5730.752,1
149,4,4.589451948264253,310,23328.09,6295.866,5832.0225,0
150,9,5.548034293510687,383,52358.99,5975.7505,5817.6655,1
151,21,6.182833543186706,431,100799.29,5451.6807,4799.9663,0
152,12,6.271602665837889,438,57761.984,5089.828,4813.4985,0
153,5,4.550000074614966,307,29400.04,6128.03,5880.008,1
154,5,5.595060166566736,386,30545.52,6359.4106,6109.104,1
155,24,4.634602813089845,313,188270.5,12684.626,7844.604,1
156,4,5.543319556814913,382,22842.691,5841.318,5710.673,0
157,33,5.538447027929432,382,188674.52,6080.2593,5717.4097,0
158,5,5.58865095382805,386,29382.648,6325.9336,5876.53,1
159,58,5.4839139779974415,378,593945.75,35927.84,10240.444,1
160,5,4.531711431705026,305,29356.967,6068.725,5871.3936,0
161,552,5.560789227069816,384,3205808.8,6493.895,5807.6245,0
162,9,4.5530385354111695,307,51355.27,5972.209,5706.141,0
163,4,5.481788207702527,378,25563.574,6577.6953,6390.8936,1
164,6,4.5072462524936086,303,35238.688,6141.014,5873.1147,1
165,6,4.5443218014778965,306,35801.69,6165.253,5966.9487,0
166,4,6.13422420073227,427,18618.244,4852.9233,4654.561,1
167,5,4.577893754316925,309,29338.64,6017.141,5867.728,0
168,4,5.623903049764769,388,22223.059,5707.127,5555.7646,1
169,5,4.394943612603683,295,55861.203,13394.624,11172.24,1
170,5,4.385128727818724,294,60450.89,13398.274,12090.178,1
171,4,4.540172683735044,306,23459.055,5938.2397,5864.7637,0
172,5,4.501203249089383,303,30039.975,6132.547,6007.995,0
173,5,4.477223546517491,301,30550.008,6317.7188,6110.0015,0
174,5,5.147184115933028,352,74546.4,18456.412,14909.279,1
175,4,4.17181971525308,278,28462.121,7232.6914,7115.5303,0
176,4,3.945720221071726,260,32351.984,8701.385,8087.996,0
177,4128,3.58431324364103,233,134662290.0,5073483.5,32621.678,1
178,4,3.9385226233066435,260,32101.893,8493.429,8025.473,0
179,5,3.8470243640922135,253,37692.375,7758.6685,7538.475,1
180,12,5.149753238601297,352,189105.12,19346.79,15758.761,1
181,11,4.476342627453736,301,67769.05,6609.3013,6160.8223,1
182,9,5.147416928598986,352,132690.31,18096.398,14743.368,1
183,5201,4.171936271782172,278,92858370.0,6060962.0,17853.945,0
184,6,5.647646495057714,390,33050.367,5915.386,5508.3945,0
185,5,5.376067052299368,370,41731.273,8813.344,8346.255,1
186,1606,5.539127195194814,382,12757682.0,250462.11,7943.762,0
187,4,5.070023761557476,346,22638.84,5944.579,5659.71,1
188,3235,5.083309085802175,347,45962504.0,1006603.5,14207.884,1
189,10,5.686248728471723,393,53163.59,5603.1973,5316.359,1
190,5,5.704731948662927,395,25890.605,5365.758,5178.121,0
191,4,5.650406622520425,390,22101.4,5682.092,5525.35,1
192,127,3.5700274093067557,232,1444131.5,12927.234,11371.114,1
193,5,3.098326338293377,196,47790.16,10744.596,9558.032,1
194,5,3.1498990501536226,200,41528.008,9372.067,8305.602,1
195,8,3.1583062410322293,200,81679.484,20412.924,10209.936,1
196,4,4.3423201437708645,291,25419.99,6739.2397,6354.9976,0
197,5,5.513699562686694,380,29363.738,6211.1455,5872.7476,0
198,7,4.38688927405228,294,84552.56,14029.107,12078.9375,1
199,8,5.487512066070045,378,55506.97,8237.419,6938.371,1
200,197,2.957914411327052,185,8351501.0,841948.4,42393.406,0
201,7,5.643598422316737,390,38658.03,5903.9326,5522.5757,1
202,4075,3.688144987139219,241,59811050.0,314283.12,14677.558,1
203,25,2.8125726672145537,174,158548.22,6860.3735,6341.9287,0
204,23,5.56609814732769,384,132646.16,6307.863,5767.224,0
205,69,2.845290602310261,177,476426.7,9164.003,6904.7344,0
206,4,2.8452170676096156,176,26069.193,6814.0176,6517.2983,0
207,4,3.1026634787233043,196,39439.445,11536.802,9859.861,1
208,5,5.513188548906138,380,30540.516,6316.518,6108.103,1
209,280,5.548004775362299,383,1635833.0,6389.535,5842.2607,0
210,5,5.074492611291048,347,28597.955,5787.2935,5719.591,0
211,9,2.959945273259625,185,58919.895,7033.7266,6546.655,1
212,5,2.662046133883138,163,42798.93,8746.765,8559.786,1
213,4,5.6436921700535265,390,22178.094,5664.498,5544.5234,0
214,24,2.8036843882573788,173,157895.06,7171.029,6578.961,1
215,17,5.544759011972385,382,97776.36,6104.1797,5751.551,0
216,12,3.5789644415122974,233,179606.56,29437.73,14967.214,1
217,5,5.576638962736824,385,28885.7,6089.533,5777.1396,0
218,8,2.5047081272143714,150,63914.49,9392.18,7989.311,0
219,4,5.623089039118037,388,22703.635,5921.8916,5675.9087,0
220,5610,2.087141478485935,119,414284770.0,6014132.5,73847.555,1
221,26,3.101986403214503,196,297562.88,14848.589,11444.726,1
222,7,3.101256082929534,196,67882.77,10738.142,9697.539,1
223,35,5.483870564667563,378,343711.7,29839.256,9820.334,1
224,6727,2.029466922582716,114,442335000.0,6118414.0,65755.164,1
225,4,3.8487219828014325,253,28919.73,7675.739,7229.9326,1
226,5,1.7876582703861639,96,80182.99,19492.762,16036.599,1
227,4,6.571207576712972,460,12340.834,3472.5588,3085.2085,0
228,603,3.60756250524727,235,63668060.0,5927053.5,105585.51,1
229,45,5.491871471846913,378,394838.72,27268.379,8774.193,1
230,4300,3.6852017074249677,241,101442300.0,6050422.0,23591.234,1
231,5,1.7957186650670316,97,58820.414,12100.233,11764.083,0
232,4325,4.167548923771326,277,38928596.0,15965.315,9000.831,0
233,30,5.49227186189661,378,315763.75,29894.848,10525.458,1
234,6,1.7214629988400296,91,69110.11,11799.3125,11518.352,0
235,4,3.1215238808121657,197,31485.293,8944.136,7871.323,0
236,8,1.7968488027229554,97,105185.81,14627.842,13148.227,1
237,8,3.1037886278545317,196,85883.79,12341.222,10735.474,1
238,5,4.901298817841235,333,22022.414,4852.27,4404.483,0
239,7,1.1665841104203298,49,137326.83,19776.28,19618.12,1
240,4,1.6249677478953408,83,48246.39,12246.44,12061.598,0
241,13,1.0310548929413996,38,176087.23,26041.486,13545.172,1
242,247,0.9759439774341674,34,2254111.5,12233.693,9125.957,1
243,6,5.6231170666002654,388,33331.414,5724.58,5555.236,1
244,9,5.146309454427615,352,125463.37,18177.816,13940.374,1
245,15,1.0286824662165306,38,214118.5,32045.363,14274.566,1
246,10,3.9476458617025303,261,88788.97,11816.346,8878.896,0
247,1789,2.100793751011305,120,55400076.0,1223234.9,30967.062,1
248,13,3.111258606859725,197,124423.3,11083.491,9571.022,1
249,7,3.145245388905647,199,61458.785,12941.92,8779.826,1
250,4,1.648996138018188,85,42017.844,10844.331,10504.461,0
251,7,3.156967822073129,200,54664.156,10231.567,7809.165,1
252,100,5.468972419906468,377,1772270.5,162945.39,17722.705,1
253,22,6.557126085467027,460,117867.53,7700.2124,5357.615,1
254,45,6.5558698830321145,459,325943.78,28638.768,7243.1953,1
255,4,2.873459460520491,179,34791.953,9182.098,8697.988,0
256,4560,2.097938309546678,120,212159970.0,6207236.0,46526.31,1
257,4,1.0544471008916825,40,36695.953,9622.27,9173.988,1
258,21,4.13694099257553,275,264787.9,40686.594,12608.948,1
259,7,5.143065949719384,352,108803.01,16379.785,15543.287,1
260,7,6.54872386057962,459,36848.57,7406.475,5264.0815,1
261,75,4.1370115745612015,275,1425857.2,182810.16,19011.43,1
262,74,2.071233950205545,118,2450684.0,486174.94,33117.35,1
263,11,5.1570634449817705,353,110762.95,10585.981,10069.359,1
264,7,6.549621266326844,459,38580.65,7921.7954,5511.521,1
265,11,0.6930798455711796,13,118836.85,16538.54,10803.351,1
266,5,6.545346689512769,459,25778.07,5768.0386,5155.6143,1
267,4250,4.1693636095835975,278,37501724.0,15588.913,8823.936,0
268,7,2.668964155937955,163,76951.22,14301.054,10993.031,0
269,5,2.693336104575844,165,104744.59,26794.941,20948.918,1
270,9,2.663338054872535,163,96050.5,13916.592,10672.277,0
271,6,2.6627906496866935,163,61971.14,13936.233,10328.523,0
272,4,2.6946917038538944,165,77942.805,26350.81,19485.701,1
273,7,2.669060222043349,163,77655.66,15182.246,11093.665,0
274,5,3.0979464362487126,196,49409.523,11297.412,9881.904,1
275,6,3.097793803440905,196,61963.74,11259.629,10327.29,1
276,9,3.0994416623028975,196,101575.44,13638.518,11286.16,1
277,4,5.487473114142716,378,26779.387,7024.509,6694.8467,1
278,3860,3.479748322915687,225,42736628.0,254934.17,11071.665,0
279,5,3.9501327914505526,261,47927.484,11679.075,9585.497,0
280,20,3.1035846223726633,196,219901.03,12524.154,10995.052,1
281,5,3.0997456830704757,196,52537.875,13044.688,10507.575,1
282,4,3.102128208976865,196,38154.8,10272.49,9538.7,1
283,2843,2.098394174661325,120,52997796.0,182648.84,18641.504,1
284,7,3.099540431742725,196,76029.96,13211.453,10861.423,1
285,10,3.5874529066885517,233,157012.5,25148.436,15701.25,1
286,340,5.476334459251719,377,4113082.0,119672.95,12097.3,1
287,611,3.577225185636243,232,22816732.0,1290728.1,37343.26,1
288,10,5.474096532384609,377,79474.42,12486.474,7947.4424,1
289,3170,2.110595803517063,121,56066116.0,51226.758,17686.473,1
290,6,4.9972324091800004,341,23730.521,5667.1724,3955.087,1
291,9,3.2021002915220724,204,60569.277,7038.153,6729.92,0
292,3467,3.4652696351156864,224,36025700.0,14870.298,10391.029,0
293,4,3.260809245096215,208,28413.021,7493.777,7103.2554,0
294,10,3.1470142090461906,199,95018.13,15523.24,9501.813,1
295,11,5.9005003486971495,410,40957.844,4219.0474,3723.4404,0
296,4,6.047366625746393,420,13869.061,3672.3196,3467.2651,0
297,20,3.104195023755601,196,222225.47,13779.609,11111.273,1
298,4,5.922652744111233,411,14444.254,4037.8545,3611.0635,0
299,106,5.067002318696444,346,2814394.5,731652.1,26550.89,1
300,5,6.03254133327996,420,17843.074,3883.5908,3568.6147,0
301,5,5.153418405000678,353,66791.43,16687.676,13358.286,1
302,9,5.931491362180621,412,33107.047,4034.7292,3678.5608,0
303,5,3.322275574497603,213,36251.59,7591.902,7250.318,0
304,4,4.462354863115278,300,37410.746,10001.035,9352.687,1
305,7,2.5994553041008235,158,51383.977,7809.826,7340.568,0
306,14,2.61589654221852,159,96361.95,7346.6426,6882.9966,0
307,7,2.6342457649145183,161,49095.664,7245.6943,7013.6665,0
308,11,2.6426300870911095,161,78432.63,7404.948,7130.2393,0
309,4,2.6620930471366506,163,36446.24,9515.472,9111.56,1
310,4,2.6623044683445545,163,34838.61,9062.605,8709.652,1
