spot_stat_label,area,medianQ,Qbin,intensity_sum,intensity_max,intensity_mean,on_arc
0,24591,5.134452767545654,351,530603800.0,329102.9,21577.154,1
1,201,6.493081308540208,455,919641.8,5160.794,4575.3325,1
2,8,6.578516488272543,461,36248.348,4840.218,4531.0435,1
3,250,6.4474729142803096,451,1179109.9,5486.818,4716.4395,0
4,21,6.553352516854402,459,127711.055,10001.271,6081.479,1
5,4,6.56404095695987,460,17065.94,4573.697,4266.485,0
6,7,6.547003333475929,459,36553.637,6367.8696,5221.948,1
7,4,6.5836720481669895,461,18297.992,4731.6494,4574.498,1
8,28,6.54477144402734,459,147244.62,6966.612,5258.737,1
9,9,6.546945883426398,459,42128.19,5382.073,4680.91,1
10,23,6.5469018053670185,459,109372.61,5632.5947,4755.331,1
11,4,6.499450686245883,455,18040.97,4825.8394,4510.2427,1
12,49,6.217552049389682,434,383098.78,20688.777,7818.3423,1
13,13,6.218592214166368,434,111030.734,18205.541,8540.826,1
14,5,6.495061547075465,455,22554.977,4635.0225,4510.995,1
15,14,6.210012408605387,433,94390.42,11662.514,6742.173,1
16,23,6.205621486441615,433,152226.62,11182.941,6618.549,1
17,4,6.509176357201011,456,17797.635,4832.191,4449.4087,1
18,33,6.45838832669681,452,142594.39,4640.866,4321.042,1
19,15,6.471974332909951,453,65463.812,4705.4575,4364.2544,0
20,4,6.511421263228417,456,17876.906,4602.673,4469.2266,1
21,19,6.542469218136552,458,86325.29,5195.741,4543.436,1
22,6,6.568592975150239,460,27119.113,4742.9434,4519.852,1
23,13,6.561573657496774,460,56724.79,4923.3135,4363.4453,1
24,7,6.170180672218948,430,33593.97,5022.7485,4799.138,0
25,4,6.567215463664079,460,17423.215,4694.426,4355.8037,0
26,6,6.126070622210623,427,29287.533,4987.0195,4881.2554,0
27,7,6.463376869132845,452,31582.938,4731.649,4511.848,1
28,4,6.545364269988923,459,18419.697,4861.2456,4604.9243,1
29,7,6.483672353126806,454,30891.432,4730.5835,4413.0615,0
30,952,6.266906242231694,437,4623420.0,5781.762,4856.5337,0
31,4,6.3744728931326,446,17790.945,4608.417,4447.7363,0
32,34,6.552040836560021,459,172333.27,9053.847,5068.6255,1
33,4,6.354524903034387,444,18540.473,4729.969,4635.118,0
34,4,6.436036654933665,450,17418.088,4696.935,4354.522,0
35,6,6.489404615527549,454,27395.562,4694.9077,4565.9272,0
36,45,6.024738289203951,419,217816.5,5283.73,4840.3667,0
37,12,6.4997674327337664,455,54200.746,4727.56,4516.729,1
38,53,6.106490353479398,425,257535.98,5243.5933,4859.1694,0
39,7,6.4385372333351425,451,30952.508,4607.095,4421.7866,0
40,4,6.510477490055429,456,17805.033,4558.2583,4451.2583,0
41,26,6.551208561334088,459,139965.27,9455.183,5383.2793,1
42,4,6.3100531009622305,441,19347.98,5033.8267,4836.995,1
43,16,6.4701653943428905,453,71562.89,4708.3613,4472.6807,1
44,26,6.3500944798269945,444,119017.695,5026.6816,4577.6035,0
45,21,6.360281553651513,445,96071.78,4952.4473,4574.8467,0
46,33,5.915899372862896,411,164788.52,5711.513,4993.5913,1
47,5,6.202914217461844,433,26657.91,5686.4463,5331.582,1
48,4,6.384026143488679,446,17735.242,4698.6016,4433.8105,0
49,4,6.400820653878439,447,17514.793,4539.0254,4378.698,0
50,6,6.465237838368485,452,25692.639,4570.878,4282.1064,0
51,4,6.378519426706298,446,17666.379,4662.2925,4416.5947,0
52,8,6.181129229604318,431,39122.797,5071.9883,4890.3496,0
53,31,6.285824742366554,439,149390.78,5217.6865,4819.0576,1
54,28,5.982786173218947,416,138765.5,5246.9624,4955.9106,0
55,25,6.137813014040683,428,117038.14,4937.615,4681.5254,0
56,4,6.341428971792569,443,17741.14,4810.4116,4435.285,1
57,15,5.845821661030989,405,80007.125,5787.88,5333.808,1
58,9,6.207389653729046,433,47511.25,5725.8066,5279.028,1
59,9,6.186437411984765,431,43987.664,5299.842,4887.518,0
60,31,6.156080850173682,429,146528.39,5120.0557,4726.722,0
61,6,6.068010879214846,422,27871.953,4994.403,4645.3257,0
62,7,6.144665440877296,428,32689.502,5073.824,4669.9287,0
63,10,5.78878445286947,401,54097.17,5665.3315,5409.7173,0
64,13,5.9041143801174805,410,66934.1,5558.905,5148.777,0
65,5,6.055547342100954,421,24385.354,5099.916,4877.071,0
66,22,5.7523920677735045,398,115856.266,5648.453,5266.194,0
67,7,6.136224048254634,427,42637.39,8160.9756,6091.0557,1
68,1512,5.468215521327789,377,10771833.0,44573.57,7124.228,1
69,50,5.858578182635094,406,396258.9,31023.338,7925.178,1
70,51,5.341485567045167,367,321170.78,6822.997,6297.4663,1
71,4,5.350381219065332,368,25744.71,6718.5107,6436.1777,1
72,35,5.324817964877871,366,211925.98,6550.594,6055.0283,0
73,19,5.332210896348824,366,118192.234,6625.011,6220.644,0
74,4,5.343935350814755,367,25386.648,6680.931,6346.662,1
75,4,5.3361222059595494,366,24760.281,6285.404,6190.0703,0
76,4,5.337879482828591,367,24151.797,6324.627,6037.949,0
77,6,6.207205304360098,433,32196.902,5653.9272,5366.1504,1
78,5,5.610535271321664,387,28736.654,5836.4604,5747.331,1
79,1609,5.471057793756774,377,14289917.0,594529.94,8881.241,1
80,28,5.156703558327738,353,277124.97,10454.233,9897.32,0
81,5,5.157255549918505,353,51509.324,11431.397,10301.865,0
82,21,5.140280117495443,352,299992.88,18089.01,14285.375,1
83,7,5.141763877358577,352,106483.336,15869.988,15211.905,1
84,4,5.14243501822404,352,58281.918,15011.147,14570.4795,1
85,30,6.205445065630708,433,319370.78,37986.64,10645.692,1
86,4,5.453327188311569,375,25020.021,6307.898,6255.0054,1
87,6,5.143732869703125,352,86044.66,15964.884,14340.776,1
88,524,4.77535963161038,324,3357830.2,69865.96,6408.0728,0
89,6,5.894121323573567,409,30446.791,5281.042,5074.4653,1
90,93,5.332048120730696,366,571540.94,6646.176,6145.6016,0
91,11,5.344068099905632,367,69093.766,6568.6763,6281.2515,1
92,8,5.342230203724872,367,50027.277,6495.218,6253.4097,0
93,5,5.311124175689683,365,30101.04,6263.3394,6020.208,1
94,4,5.151842829538061,352,50818.008,15131.887,12704.502,1
95,4,5.152140917116823,352,51252.97,15420.395,12813.242,1
96,4,5.771347911968552,399,20471.139,5402.1587,5117.7847,0
97,27,5.339293086049704,367,168593.34,6616.011,6244.1978,1
98,32,5.019150685776577,342,188314.78,6175.0483,5884.837,1
99,2583,4.6852636352028565,317,20806364.0,548336.6,8055.1157,0
100,4,5.152103439099922,352,52488.02,15539.051,13122.005,1
101,4,5.781591688465968,400,20979.219,5436.27,5244.8047,1
102,4,5.152042133893977,352,52034.25,15765.026,13008.5625,1
103,7,4.987231418216786,340,48699.94,9343.924,6957.1343,1
104,7,5.780936089741101,400,36596.633,5567.707,5228.0903,0
105,5,4.8606803579855935,330,31361.287,6539.634,6272.2573,1
106,25,5.48446098597505,378,279902.34,30002.453,11196.094,1
107,6,4.823040901241653,327,36026.207,6284.3896,6004.3677,0
108,11,4.844863899188409,329,65419.383,6425.805,5947.217,1
109,4,4.848997942705356,329,24917.242,6331.877,6229.3105,1
110,6,4.838068462824531,328,36567.164,6299.702,6094.5273,1
111,14080,4.374437911616453,293,206766080.0,5995116.0,14685.091,1
112,7,4.868406953172997,331,43250.773,6401.468,6178.682,1
113,6,5.480175704771364,377,46455.73,9834.604,7742.6216,1
114,4,5.155334745188239,353,47088.617,14394.219,11772.154,1
115,33,4.922586166162464,335,193857.89,6430.7017,5874.4814,0
116,9,4.842050084236027,329,54002.734,6402.093,6000.3037,0
117,4,4.840070077487592,329,24281.844,6148.146,6070.461,1
118,25,4.804368958282257,326,141185.8,6030.675,5647.4316,0
119,8,4.832832846060434,328,48390.223,6294.801,6048.778,1
120,8,4.85162177818303,330,49052.21,6303.1064,6131.5264,1
121,19,5.701180225233941,394,102318.69,5816.7964,5385.194,0
122,6,4.818866489541735,327,34843.48,6066.9683,5807.2466,1
123,24,4.832065569088721,328,141713.84,6382.955,5904.7437,0
124,9,4.74526194576286,321,50388.082,5905.084,5598.676,1
125,18,5.48118587713356,378,168567.3,18720.598,9364.85,1
126,16,5.477444860350286,377,141151.53,22775.54,8821.971,1
127,139,5.629454010537483,389,784154.7,6080.9854,5641.4004,0
128,396,4.644165727120772,314,5058985.0,434569.25,12775.215,1
129,4,4.723890261051453,320,22065.006,5732.2866,5516.2515,0
130,25,6.2061720570553245,433,137780.72,5914.8335,5511.2285,1
131,9,4.691235665597113,317,50256.6,5775.3086,5584.067,1
132,78,6.207071750718372,433,404961.25,5778.2646,5191.811,1
133,12,5.473552741025914,377,91336.22,10747.247,7611.3516,1
134,9,5.474536875064026,377,70119.805,12719.343,7791.0894,1
135,9,4.7796284094615995,324,49583.754,5762.758,5509.306,1
136,9,6.256285135024051,437,44916.02,5291.9897,4990.669,1
137,4,4.640273465045748,313,23072.299,5893.735,5768.0747,0
138,9,6.2596744763799155,437,43749.93,5069.9585,4861.1035,0
139,57,5.481312396890178,378,879918.75,78415.79,15437.171,1
140,7,4.75147091250013,322,38418.34,5636.668,5488.3345,1
141,655,5.560469990995836,384,3848918.5,6634.445,5876.2114,0
142,8,6.145911413363926,428,37964.266,4982.616,4745.533,1
143,5,4.717918240029169,319,27844.055,5711.619,5568.811,0
144,6,6.242705759269445,435,29910.297,5275.8833,4985.0493,0
145,47,5.4826778127551865,378,498106.4,32258.07,10598.009,1
146,4,5.62251958601728,388,22930.27,5895.8755,5732.5674,0
147,14,5.4843424056037655,378,92413.58,7241.2285,6600.9697,1
148,4,4.660110605250271,315,23124.932,5917.1914,5781.233,1
149,6,4.6387454650205555,313,39968.24,8968.363,6661.373,1
150,10,4.617952747206635,312,59781.68,6352.418,5978.168,1
151,9,5.652394434414358,391,50140.42,5870.1304,5571.158,0
152,5,5.489498398998803,378,33588.5,7192.5615,6717.7,1
153,4,5.496504718735727,379,24318.418,6325.367,6079.6045,1
154,5,4.338312605884563,290,38329.85,8397.844,7665.97,0
155,5,5.146493123507497,352,72423.6,17773.855,14484.721,1
156,4,5.149922012912613,352,58696.938,18469.78,14674.234,1
157,5,5.146568576736982,352,72184.58,17206.088,14436.916,1
158,5,5.147034202405128,352,71693.55,17139.363,14338.709,1
159,7,4.394399006877514,295,83764.11,14106.353,11966.302,1
160,7,4.166907246765775,277,48320.5,7257.417,6902.9287,1
161,4859,3.58951604458003,233,250403650.0,6109507.5,51533.99,1
162,12,5.149753238601297,352,189344.44,19365.234,15778.703,1
163,4,4.98435857059159,340,26103.293,7357.1567,6525.823,1
164,7,5.146898188116584,352,106454.02,17839.684,15207.718,1
165,5611,4.169915072506023,278,155503730.0,6084040.0,27714.084,1
166,7,5.375046793801818,369,61204.71,9476.893,8743.53,1
167,4,5.519033179861274,380,23538.365,6184.7524,5884.5913,1
168,8,5.6188684346390225,388,44624.0,6000.001,5578.0,0
169,1571,5.53704700230248,382,12952135.0,224068.95,8244.517,0
170,3296,5.083482097888903,347,40948896.0,950825.1,12423.815,1
171,6,5.720814636048383,396,32034.498,5534.5884,5339.083,0
172,6,3.2462362765192854,207,44083.207,7712.5713,7347.201,1
173,16,3.1702279294296085,201,121821.234,9065.801,7613.827,1
174,18,5.621272278879077,388,102016.47,5953.9717,5667.5815,0
175,8,3.0325162213026564,191,52135.676,6737.353,6516.9595,0
176,173,3.5729668059851907,232,3684124.2,560128.3,21295.516,1
177,4,3.101513948436363,196,44284.05,11620.715,11071.013,1
178,7,3.1523778769995574,200,85996.47,19174.35,12285.21,1
179,89,3.1024209130948783,196,1191976.8,19914.254,13392.997,1
180,6,3.1583062410322293,200,56327.63,14823.149,9387.938,1
181,8,3.0479179430051717,192,53586.742,7522.3584,6698.343,0
182,4,5.485839542298389,378,27987.248,7130.2197,6996.812,1
183,4,2.96318227475988,185,29931.1,7983.5664,7482.775,0
184,274,2.9376949323477795,184,4519715.0,318129.62,16495.31,1
185,12,4.3857520987592,294,144119.14,14712.519,12009.929,1
186,4,4.198237766007685,280,27689.102,7049.9814,6922.2754,1
187,4,2.801167012113212,173,25881.273,6626.737,6470.3184,1
188,66,5.5634711016610545,384,380739.78,6384.0894,5768.7847,0
189,18,2.824467445014821,175,118978.72,7197.336,6609.9287,0
190,4066,3.6837667403235326,241,62566280.0,413184.1,15387.674,0
191,4,2.781018157189336,172,26443.227,6734.5283,6610.8066,0
192,527,5.549740390059138,383,3107583.2,6552.7656,5896.742,0
193,4,3.1026634787233043,196,44732.35,13026.353,11183.088,1
194,13,2.5948202426264895,157,124320.58,9999.259,9563.121,1
195,13,2.8328414680064937,176,86921.07,6987.0645,6686.2363,1
196,10,3.5807833935961826,233,219730.22,39884.574,21973.021,1
197,15,5.5852240819887475,385,86242.8,5947.9985,5749.52,0
198,5,5.620190402244284,388,28791.508,6032.253,5758.302,0
199,22,2.5088302467318706,151,211618.3,10721.873,9619.014,1
200,4,5.642165144440642,390,22705.63,5766.157,5676.4077,0
201,5,2.795056844383205,173,32219.777,6673.1436,6443.9556,0
202,9,2.4294627859724267,145,74954.02,8664.324,8328.225,0
203,6093,2.0809525792463845,118,429304030.0,6014103.0,70458.56,1
204,4,4.391567891171919,294,43636.74,12990.485,10909.185,1
205,7,3.0966081948475965,196,100202.94,16926.07,14314.705,1
206,25,3.1020875359358713,196,314559.5,16189.997,12582.38,1
207,5,3.1495492674468504,200,46760.94,12272.576,9352.188,1
208,34,5.482903066342776,378,319442.97,22755.73,9395.382,1
209,6459,2.0281417237405437,114,455815230.0,6123194.0,70570.555,1
210,4,1.7902126998583512,96,53188.062,15162.009,13297.016,1
211,4,5.493626336088388,378,30719.35,8605.387,7679.8374,1
212,494,3.6067379121371275,235,34047600.0,4836502.0,68922.266,1
213,47,5.491040922147081,378,408473.2,17719.129,8690.919,1
214,5,1.5204012157110889,76,57453.492,11603.165,11490.698,0
215,11,1.5563240604306976,78,124945.29,11867.44,11358.663,0
216,4,1.5348577589652532,77,46230.14,11910.16,11557.535,0
217,4462,3.6830384396151876,240,132667210.0,6128904.0,29732.678,0
218,8,6.209676418718216,433,44043.406,5949.6763,5505.426,1
219,8,3.1078908970008645,197,97205.23,15569.95,12150.653,1
220,5,1.5773682927969732,80,63438.453,13010.3545,12687.69,1
221,4538,4.163902516960476,277,40457064.0,35121.76,8915.175,0
222,8,5.492882369019927,378,55818.156,7514.008,6977.2695,1
223,5,3.1003104350200963,196,55063.984,11874.917,11012.797,1
224,4,1.7939452042199304,96,52962.773,14276.076,13240.693,1
225,9,3.102029319317615,196,104906.24,13628.129,11656.249,1
226,6,1.797546719087792,97,80224.51,14891.48,13370.751,1
227,12,1.3610092575551276,63,160136.52,13748.05,13344.71,1
228,6,2.225328354027199,129,98518.12,29996.436,16419.686,1
229,7,5.634190179274285,389,39934.66,6048.9253,5704.9517,1
230,11,1.0307305820918686,38,141297.56,23882.818,12845.233,1
231,4,5.59012478060399,386,23153.957,5952.152,5788.4893,1
232,6,5.621173558539111,388,33785.766,5905.2544,5630.961,0
233,346,0.8843717514883691,27,3145212.5,16987.816,9090.21,1
234,4,5.551503525757754,383,22915.273,5971.052,5728.8184,1
235,6,5.635610576328457,389,33747.848,5876.858,5624.641,0
236,12,5.604326374698582,387,68750.65,6054.294,5729.2207,1
